original_text,summary
no you need not bypass the config sys in dos 6 0 there is a function of multi config have you tried boot sys the multi config is the kind that you can choose you config sys at the startup and i find that is very good it has no conflict to qemm i have problem when using boot sys the key you say is f8 which is trace the config sys step by step sorry if any error,no you need not bypass the config sys in dos 6 0 there is a function of multi config have you tried boot sys the multi config is the kind that you can choose you config sys at the startup and i find that is very good it has no conflict to qemm i have problem when using boot sys the key you say is f8 which is trace the config sys step by step sorry if any error
uh slight clarification that should be a printer driver for the c itoh lips10 laser printer thanks again,uh slight clarification that should be a printer driver for the c itoh lips10 laser printer thanks again
we are having a problem with a quadra 950 that has stumped a couple of techs sent to us by the vendor as well as us this quadra is stuffed with 64mb ram 2mb vram and some large disk 400mb i think what happens is that after a certain variable interval of time the video circuitry loses vertical sync it is quite apparent that the mac cpu is still ok and the problem really seems to lie with the video circuitry since you can still save your documents quit your aplpications even pull down menus etc only the display is scrolling lik crazy so it s pretty hard to hit menu items we had the original logic board replaced twice now and the same problem has been occurring on all boards although the inteval between occurrences has varied the first board had this problem every about 1hr more often if the cache was turned off yes off this is the only symptom that is not obviously related to the video circuitry after all the cache is on the cpu right the second board had the problem every about 10 minutes we did not keep it rather we put the original back the current board we have has this problem a lot less often has gone about a week without doing it but did it twice within an hour yesterday the technicians that have come out to try to figure it out seemed pretty sharp and tried a number of sensible things most of which we had previously tried ourselves anyway these included swapping the ram swapping the vram swapping monitors 3 different 13 apple rgb and 2 16 apple rgb swapping cables disconnecting hd and booting from floppy sacrificing various small mammals here are some other facts when we put a rasterops procolor 32 on the nubus the problem is fixed it does not occur with the internal video or the procolor video out the vendor cannot reproduce the problem back in their shop on the boards that exhibit it in our lab apple is said to be getting a little bit pissed off at shipping us boards that they cannot find anything wrong with and getting them shipped back as faulty according to us here are some speculations i bet that neither apple nor the vendor has tested these boards with that much ram and vram on them simultaneaously which may have something to do with their finding it hard to reproduce the problem though we can reproduce it with just 4mb of ram so this is probably a red herring the vendor s representative blames metal in your walls claims that our walls have metal in them which interferes with the mac s operation we have another 950 in the lab which works like a charm though it s not in the exact same spot please don t tell me this is probably it i do not want to believe it it s probably not poltergeists since they do not have badges to get past security at the entrance to our site has anyone any ideas please please email as well as posting cause i seem to be spending a lot of time rebooting my mac lately and have a lot less time available to read news thank you in advance carlo tiana nasa ames research center carlo vision arc nasa gov,we are having a problem with a quadra 950 that has stumped a couple of techs sent to us by the vendor as well as us this quadra is stuffed with 64mb ram 2mb vram and some large disk 400mb i think what happens is that after a certain variable interval of time the video circuitry loses vertical sync it is quite apparent that the mac cpu is still ok and the problem really seems to lie with the video circuitry since you can still save your documents quit your aplpications even pull down menus etc only the display is scrolling lik crazy so it s pretty hard to hit menu items we had the original logic board replaced twice now and the same problem has been occurring on all boards although the inteval between occurrences has varied the first board had this problem every about 1hr more often if the cache was turned off yes off this is the only symptom that is not obviously related to the video circuitry after all the cache is on the cpu right the second board had the problem every about 10 minutes we did not keep it rather we put the original back the current board we have has this problem a lot less often has gone about a week without doing it but did it twice within an hour yesterday the technicians that have come out to try to figure it out seemed pretty sharp and tried a number of sensible things most of which we had previously tried ourselves anyway these included swapping the ram swapping the vram swapping monitors 3 different 13 apple rgb and 2 16 apple rgb swapping cables disconnecting hd and booting from floppy sacrificing various small mammals here are some other facts when we put a rasterops procolor 32 on the nubus the problem is fixed it does not occur with the internal video or the procolor video out the vendor cannot reproduce the problem back in their shop on the boards that exhibit it in our lab apple is said to be getting a little bit pissed off at shipping us boards that they cannot find anything wrong with and getting them shipped back as faulty according to us here are some speculations i bet that neither apple nor the vendor has tested these boards with that much ram and vram on them simultaneaously which may have something to do with their finding it hard to reproduce the problem though we can reproduce it with just 4mb of ram so this is probably a red herring the vendor s representative blames metal in your walls claims that our walls have metal in them which interferes with the mac s operation we have another 950 in the lab which works like a charm though it s not in the exact same spot please don t tell me this is probably it i do not want to believe it it s probably not poltergeists since they do not have badges to get past security at the entrance to our site has anyone any ideas please please email as well as posting cause i seem to be spending a lot of time rebooting my mac lately and have a lot less time available to read news thank you in advance carlo tiana nasa ames research center carlo vision arc nasa gov
this is an official rfd for the creation of a new newsgroup for the general discussion of the microsoft access rdms name comp databases access moderation unmoderated at this time no need for a moderator has been assertained future evaluation will determine if one is needed purpose access is a new rdbms for the windows operating system it includes wysiwyg design tools for easy creation of tables reports forms and queries and a database programming language called access basic the purpose of the group will be to provide help to people who use access s wysiwyg design tools to create simple databases as well as to people who use access basic to create complex databases rationale eventhough access is a new rdbms it is very popular because of its graphical development enviroment and its initial low price been a version 1 0 product means that all access users are novices for that reason a newsgroup is needed where access users can discuss their experiences with the product and answer each other s questions,this is an official rfd for the creation of a new newsgroup for the general discussion of the microsoft access rdms name comp databases access moderation unmoderated at this time no need for a moderator has been assertained future evaluation will determine if one is needed purpose access is a new rdbms for the windows operating system it includes wysiwyg design tools for easy creation of tables reports forms and queries and a database programming language called access basic the purpose of the group will be to provide help to people who use access s wysiwyg design tools to create simple databases as well as to people who use access basic to create complex databases rationale eventhough access is a new rdbms it is very popular because of its graphical development enviroment and its initial low price been a version 1 0 product means that all access users are novices for that reason a newsgroup is needed where access users can discuss their experiences with the product and answer each other s questions
hi can anyone tell me where i can get a copy of updated canon bj 200 printer driver for windows 3 1 if any i have ver 1 0 which comes with my bj 200 printer i just wonder if there is any newer version,hi can anyone tell me where i can get a copy of updated canon bj 200 printer driver for windows 3 1 if any i have ver 1 0 which comes with my bj 200 printer i just wonder if there is any newer version
oh ok then sorry for misunderstanding maybee you should persuade your burea that for only 650 they can become much more competitive taking input from autocad postscript andgif as well as scodl seriously this sounds like something the bureau should have or find another bureau you should not be the one buting this software chris lilley technical author itti computer graphics and visualisation training project computer graphics unit manchester computing centre oxford road manchester uk m13 9pl internet c c lilley mcc ac uk voice 44 0 61 275 6045 fax 44 0 61 275 6040 janet c c lilley uk ac mcc,oh ok then sorry for misunderstanding maybee you should persuade your burea that for only 650 they can become much more competitive taking input from autocad postscript andgif as well as scodl seriously this sounds like something the bureau should have or find another bureau you should not be the one buting this software chris lilley technical author itti computer graphics and visualisation training project computer graphics unit manchester computing centre oxford road manchester uk m13 9pl internet c c lilley mcc ac uk voice 44 0 61 275 6045 fax 44 0 61 275 6040 janet c c lilley uk ac mcc
it is correct that vc is not considered an upgrade for c7 c7 is basically a dos product vc is a windows product as windows is not an upgrade for dos it is a separate operating system product line its utilities cannot be upgrades for dos utilities however i have also been told that it is not an upgrade for qcwin which it should be,it is correct that vc is not considered an upgrade for c7 c7 is basically a dos product vc is a windows product as windows is not an upgrade for dos it is a separate operating system product line its utilities cannot be upgrades for dos utilities however i have also been told that it is not an upgrade for qcwin which it should be
hi everyone i am looking for some software called shadow as far as i know its a simple raytracer used in the visualization of synchrotron beam lines now we have an old version of the program here but unfortunately we don t have any documentation if anyone knows where i can get some docs or maybe a newer version of the program or even another program that does the same sort of thing i would love to hear from you ps i think shadow was written by a f cerrina anyone any ideas,hi everyone i am looking for some software called shadow as far as i know its a simple raytracer used in the visualization of synchrotron beam lines now we have an old version of the program here but unfortunately we don t have any documentation if anyone knows where i can get some docs or maybe a newer version of the program or even another program that does the same sort of thing i would love to hear from you ps i think shadow was written by a f cerrina anyone any ideas
hi there i plan on upgrading my monitor and video card to 1280x1024 i have a dx2 66 isa no local bus system i would appreciate if anyone can drop me an email of your experience with high resolution video board monitor thanks ming t lin,hi there i plan on upgrading my monitor and video card to 1280x1024 i have a dx2 66 isa no local bus system i would appreciate if anyone can drop me an email of your experience with high resolution video board monitor thanks ming t lin
lightwave3d mail list what is lightwave lightwave3d is part of a suite of programs that come bundled with a device called the toaster from newtek inc that operates on an amiga platform the lightwave software lightwave lightwave3d and lightwave modeler allows and artist to create three dimensional photo realistic images for a variety of purposes why are we doing this this mailing list is for those interested in the lightwave software how it operates and in ideas on how to obtain the best quality images available to them the list is for those who own the toaster and lightwave as well as those just interested in what can be done with the package we hope to share information tips procedures and to bond as a group what are the rules since lightwave modeler are just a part of the newtek video toaster software i m sure we will discuss a few items related to the operation of the toaster however we will strive to keep the subject revolving specifically around the 3d software related tools and products you do not have to own a toaster to join this list ok how do i join to become a member of the lightwave3d mailing list you must send a mail message to the address lightwave request bobsbox rent com in the body of the message enter subscribe lightwave l your name your site domain or just ask to be signed up and i will sign you up to the list at this point in time the process is manual but i hope to get an automated script based system in place soon there shouldn t be too much of a delay in joining expect a welcome message within 5 days after you send your request then expect the mail to start flowing in how do i post to the list contributing to the list is simple just mail your articles to the following address lightwave bobsbox rent com your article will be processed by the system and distributed to all others joined to the list your articles will also be sent to you so you know that your article has made it to the list however those addresses that are either no good or no longer active will bounce back to you so if you post an article and another members address is no longer valid your original article will be returned to you this doesn t mean it hasn t been posted to the list in fact just the opposite is true it means that your article was posted and that it couldn t be sent to one or more of the members of the list due to a bad address note i hope to have a fix for this behavior soon how do i quit the list simply mail a request to be removed from the list to the same address you used to sign up lightwave request bobsbox rent com in the body of the message enter unsubscribe lightwave l your name your site domain i will remove your name from the list of members please if you join the list and your account is going to be closed or if you will not be able to receive mail for a while send a request to be removed from the list if you are just going to lose access for a short while still send a request for a suspension of your membership and i will suspend forwarding of the articles to you what about old articles i am currently archiving all the articles posted to the list at the originating site bobsbox however i can not continue to do this due to lack of disk space what we need is a volunteer that will maintain a compendium of articles sent to the list they can compress and store them in archives on their system they can then periodically post an index of the contents of the compendium and any other information that relates if there are no volunteers then maybe someone can donate a large scsi hard drive to me for archival purposes grin i have setup a mail based file server so that anyone interested in the list can obtain information as well as the entire archive of past articles the membership listing and other information pertaining to the lightwave3d mailing list for information on this service please send a mail message to fileserver bobsbox rent com the first command to the server must be help or user name passwd use help to request a current copy of the helpfile use user name passwd to connect to the service use to get a short listing of all available commands now what do i do well sit back and enjoy the pouring out of information if you have something to offer please feel free to contribute that information to the list every little bit helps questions are welcomed it makes some of us feel important when we can answer them grin if you have any questions or comments regarding the list please contact me at the address lightwave admin bobsbox rent com cheers,lightwave3d mail list what is lightwave lightwave3d is part of a suite of programs that come bundled with a device called the toaster from newtek inc that operates on an amiga platform the lightwave software lightwave lightwave3d and lightwave modeler allows and artist to create three dimensional photo realistic images for a variety of purposes why are we doing this this mailing list is for those interested in the lightwave software how it operates and in ideas on how to obtain the best quality images available to them the list is for those who own the toaster and lightwave as well as those just interested in what can be done with the package we hope to share information tips procedures and to bond as a group what are the rules since lightwave modeler are just a part of the newtek video toaster software i m sure we will discuss a few items related to the operation of the toaster however we will strive to keep the subject revolving specifically around the 3d software related tools and products you do not have to own a toaster to join this list ok how do i join to become a member of the lightwave3d mailing list you must send a mail message to the address lightwave request bobsbox rent com in the body of the message enter subscribe lightwave l your name your site domain or just ask to be signed up and i will sign you up to the list at this point in time the process is manual but i hope to get an automated script based system in place soon there shouldn t be too much of a delay in joining expect a welcome message within 5 days after you send your request then expect the mail to start flowing in how do i post to the list contributing to the list is simple just mail your articles to the following address lightwave bobsbox rent com your article will be processed by the system and distributed to all others joined to the list your articles will also be sent to you so you know that your article has made it to the list however those addresses that are either no good or no longer active will bounce back to you so if you post an article and another members address is no longer valid your original article will be returned to you this doesn t mean it hasn t been posted to the list in fact just the opposite is true it means that your article was posted and that it couldn t be sent to one or more of the members of the list due to a bad address note i hope to have a fix for this behavior soon how do i quit the list simply mail a request to be removed from the list to the same address you used to sign up lightwave request bobsbox rent com in the body of the message enter unsubscribe lightwave l your name your site domain i will remove your name from the list of members please if you join the list and your account is going to be closed or if you will not be able to receive mail for a while send a request to be removed from the list if you are just going to lose access for a short while still send a request for a suspension of your membership and i will suspend forwarding of the articles to you what about old articles i am currently archiving all the articles posted to the list at the originating site bobsbox however i can not continue to do this due to lack of disk space what we need is a volunteer that will maintain a compendium of articles sent to the list they can compress and store them in archives on their system they can then periodically post an index of the contents of the compendium and any other information that relates if there are no volunteers then maybe someone can donate a large scsi hard drive to me for archival purposes grin i have setup a mail based file server so that anyone interested in the list can obtain information as well as the entire archive of past articles the membership listing and other information pertaining to the lightwave3d mailing list for information on this service please send a mail message to fileserver bobsbox rent com the first command to the server must be help or user name passwd use help to request a current copy of the helpfile use user name passwd to connect to the service use to get a short listing of all available commands now what do i do well sit back and enjoy the pouring out of information if you have something to offer please feel free to contribute that information to the list every little bit helps questions are welcomed it makes some of us feel important when we can answer them grin if you have any questions or comments regarding the list please contact me at the address lightwave admin bobsbox rent com cheers
yesterday i wrote a program to do bilinear interpolation ala numerical recipes with the pbmplus libraries i m pretty happy with the results but i m looking for any already coded non linear interpolation schemes before i go ahead an try to write one any pointers,yesterday i wrote a program to do bilinear interpolation ala numerical recipes with the pbmplus libraries i m pretty happy with the results but i m looking for any already coded non linear interpolation schemes before i go ahead an try to write one any pointers
1 don t hold your finger on it 2 when cooking with it use a very small pan and be sure to not spill liquids on the components 3 if you do not plan to cook with it there are a number of small cooling fans designed to mount on the chip and plug into your power supply look in consumer shoppers,1 don t hold your finger on it 2 when cooking with it use a very small pan and be sure to not spill liquids on the components 3 if you do not plan to cook with it there are a number of small cooling fans designed to mount on the chip and plug into your power supply look in consumer shoppers
well i also have an lc iii popping the top revealed one socket for an additional vram simm one socket for a 72 pin ram simm one socket for a flat pack fpu a processor direct slot pds identical to the lc lc ii but with an additional set of connetions to one side for the full 32 bit data path that the lc lc ii lacked that s it i guess a board with a powerpc chip could be made that would fit in the pds but that s the only place,well i also have an lc iii popping the top revealed one socket for an additional vram simm one socket for a 72 pin ram simm one socket for a flat pack fpu a processor direct slot pds identical to the lc lc ii but with an additional set of connetions to one side for the full 32 bit data path that the lc lc ii lacked that s it i guess a board with a powerpc chip could be made that would fit in the pds but that s the only place
i think you meant quadra 800 but a centris 800 probably would be a real nice machine but yeah it needs 80ns not 60ns joel,i think you meant quadra 800 but a centris 800 probably would be a real nice machine but yeah it needs 80ns not 60ns joel
i am looking for some information of hidden line removal using roberts algorithm something with code or pseudo code would be especially helpful i am required to do this for a class due monday we have very little time to implement these changes it is a very fast paced class the notes given in class leave a lot to be desired so i would vastly appreciate any help actually any algorithm would be nice roberts or no the main problem is two objects intersecting in x and y dimensions need to know which lines to clip off so that one object will appear in front of another if you can give me an ftp address and filename or even the name of a good book i d really appreciate it,i am looking for some information of hidden line removal using roberts algorithm something with code or pseudo code would be especially helpful i am required to do this for a class due monday we have very little time to implement these changes it is a very fast paced class the notes given in class leave a lot to be desired so i would vastly appreciate any help actually any algorithm would be nice roberts or no the main problem is two objects intersecting in x and y dimensions need to know which lines to clip off so that one object will appear in front of another if you can give me an ftp address and filename or even the name of a good book i d really appreciate it
please reply via e mail since this is job related i have a colorado jumbo back up system at one of my places of employment and it has eaten two tapes by winding the tape off the spool is there an easy fix or is the tape drive fried does it simply need cleaning any and all comments will be appreciated stephen husak,please reply via e mail since this is job related i have a colorado jumbo back up system at one of my places of employment and it has eaten two tapes by winding the tape off the spool is there an easy fix or is the tape drive fried does it simply need cleaning any and all comments will be appreciated stephen husak
hi all i m asking for info on behalf of a friend is there what would be the best way to copy the output of a monitor on to video tape any ideas please prescribe additional hardware and or software i m just assuming an intel windows environment thanks in advance jerry,hi all i m asking for info on behalf of a friend is there what would be the best way to copy the output of a monitor on to video tape any ideas please prescribe additional hardware and or software i m just assuming an intel windows environment thanks in advance jerry
this may work but won t it involve invoking the applications e g if you drag a bmp or txt file to the min print manager icon won t it run notepad and paintbrush before printing if you just want to drag a file txt or bmp to a print server icon with stay at front attributes you need an intelligent print manager drag and drop client like amish print 2 0,this may work but won t it involve invoking the applications e g if you drag a bmp or txt file to the min print manager icon won t it run notepad and paintbrush before printing if you just want to drag a file txt or bmp to a print server icon with stay at front attributes you need an intelligent print manager drag and drop client like amish print 2 0
wouldany one know afair price for an lc color card in aussie dollars just wondering,wouldany one know afair price for an lc color card in aussie dollars just wondering
most importantly which winbench version are you using on my local bus ati graphics ultra pro i ve gotten various winbench scores from 15 8 million to 31 million winmarks depending on the version winbench 2 5 gives the most optimistic scores 3 11 gives the least a winmark rating is meaningless without a corresponding version number dan,most importantly which winbench version are you using on my local bus ati graphics ultra pro i ve gotten various winbench scores from 15 8 million to 31 million winmarks depending on the version winbench 2 5 gives the most optimistic scores 3 11 gives the least a winmark rating is meaningless without a corresponding version number dan
it came from a reseller survey i don t recall any fud here maybe an example for the most part this newsgroup is attack oriented microsoft has been attacked on anything ranging from the quality of our products the intelligence of our people the integrity of our business etc anyone would get defensive when being baselessly attacked we are human beings as well you should expect a response when a claim that an employee might feel is unwarranted is leveled,it came from a reseller survey i don t recall any fud here maybe an example for the most part this newsgroup is attack oriented microsoft has been attacked on anything ranging from the quality of our products the intelligence of our people the integrity of our business etc anyone would get defensive when being baselessly attacked we are human beings as well you should expect a response when a claim that an employee might feel is unwarranted is leveled
i d appreciate it greatly if someone could e mail me the following if you only know one that s fine 1 specs for the 68040 esp how it compares to the pentium 2 specs for the 68060 with estimated cost release date etc i m interested in speeds systems it can run windows nt risc or whatever costs bus info register info all the technical info i am hoping that the 68040 can win yet another battle against the intel people thanks for any info you can give thanks,i d appreciate it greatly if someone could e mail me the following if you only know one that s fine 1 specs for the 68040 esp how it compares to the pentium 2 specs for the 68060 with estimated cost release date etc i m interested in speeds systems it can run windows nt risc or whatever costs bus info register info all the technical info i am hoping that the 68040 can win yet another battle against the intel people thanks for any info you can give thanks
